ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11034701,JA366925,01/01/2001 11:00:00 AM,016XX E 86TH PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0412,004,8,45,11,,,2001,08/05/2017 03:50:08 PM,,,
11227287,JB147188,10/08/2017 03:00:00 AM,092XX S RACINE AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,false,2222,022,21,73,02,,,2017,02/11/2018 03:57:41 PM,,,
11227583,JB147595,03/28/2017 02:00:00 PM,026XX W 79TH ST,0620,BURGLARY,UNLAWFUL ENTRY,OTHER,false,false,0835,008,18,70,05,,,2017,02/11/2018 03:57:41 PM,,,
11227293,JB147230,09/09/2017 08:17:00 PM,060XX S EBERHART AVE,0810,THEFT,OVER $500,RESIDENCE,false,false,0313,003,20,42,06,,,2017,02/11/2018 03:57:41 PM,,,
11227634,JB147599,08/26/2017 10:00:00 AM,001XX W RANDOLPH ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL/MOTEL,false,false,0122,001,42,32,02,,,2017,02/11/2018 03:57:41 PM,,,
11227517,JB138481,02/10/2013 12:00:00 AM,071XX S LAFAYETTE AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,false,0731,007,6,69,02,,,2013,02/11/2018 03:57:41 PM,,,
11227503,JB146383,01/01/2015 12:01:00 AM,061XX S KILBOURN AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,false,true,0813,008,13,65,17,,,2015,04/12/2019 04:00:15 PM,,,
11227508,JB146365,01/01/2017 12:01:00 AM,027XX S WHIPPLE ST,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,false,false,1033,010,12,30,02,,,2017,02/11/2018 03:57:41 PM,,,
11022695,JA353568,07/17/2017 10:10:00 AM,021XX W MC LEAN AVE,0810,THEFT,OVER $500,RESIDENCE,false,false,1432,014,32,22,06,,,2017,07/24/2017 03:54:23 PM,,,
11227633,JB147500,12/28/2017 03:55:00 PM,011XX S MICHIGAN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0123,001,2,32,11,,,2017,02/11/2018 03:57:41 PM,,,
11227586,JB147613,02/10/2017 12:00:00 PM,089XX S COTTAGE GROVE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0633,006,8,44,14,,,2017,02/11/2018 03:57:41 PM,,,
11227475,JB147314,11/22/2017 02:42:00 AM,056XX N CHRISTIANA AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,true,1711,017,39,13,26,,,2017,02/11/2018 03:57:41 PM,,,
11227247,JB147078,01/01/2012 09:00:00 AM,105XX S INDIANAPOLIS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0432,004,10,52,11,,,2012,02/11/2018 03:57:41 PM,,,
11036284,JA370282,07/29/2017 03:40:00 PM,014XX W Devon Ave,0820,THEFT,$500 AND UNDER,SIDEWALK,false,false,2432,024,40,1,06,,,2017,08/05/2017 03:50:08 PM,,,
11227509,JB146413,01/22/2017 12:01:00 AM,079XX S JEFFERY BLVD,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,false,false,0414,004,8,46,20,,,2017,02/11/2018 03:57:41 PM,,,
11227407,JB147329,10/14/2017 12:01:00 AM,037XX N SOUTHPORT AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,false,false,1922,019,44,6,11,,,2017,02/22/2018 03:56:47 PM,,,
11028056,JA359834,10/15/2014 03:00:00 PM,047XX S PULASKI RD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,PARKING LOT/GARAGE(NON.RESID.),false,false,0821,008,14,57,11,,,2014,07/24/2017 03:54:23 PM,,,
11028299,JA360073,05/30/2015 12:00:00 AM,074XX S HARVARD AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,false,true,0731,007,17,69,02,,,2015,05/15/2018 03:52:47 PM,,,
11028290,JA360134,05/30/2015 12:00:00 AM,074XX S HARVARD AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,false,true,0731,007,17,69,02,,,2015,05/22/2018 04:05:33 PM,,,
11041422,JA375398,07/29/2017 10:00:00 AM,022XX W WINNEMAC AVE,0810,THEFT,OVER $500,RESIDENCE-GARAGE,false,false,2031,020,47,4,06,,,2017,08/05/2017 03:50:08 PM,,,
11042125,JA376558,12/16/2011 12:00:00 AM,003XX W 64TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,HOSPITAL BUILDING/GROUNDS,false,false,0722,007,20,68,11,,,2011,08/05/2017 03:50:08 PM,,,
11042141,JA376559,05/16/2013 12:00:00 AM,003XX W 64TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,HOSPITAL BUILDING/GROUNDS,false,false,0722,007,20,68,11,,,2013,08/05/2017 03:50:08 PM,,,
11039126,JA371798,01/01/2007 12:01:00 AM,009XX N DRAKE AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,false,1121,011,27,23,02,,,2007,10/21/2017 03:44:12 PM,,,
11042582,JA377037,01/01/2011 12:01:00 AM,054XX S CALIFORNIA AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,APARTMENT,true,true,0923,009,14,63,02,,,2011,08/13/2017 03:50:54 PM,,,
11042759,JA376850,07/08/2013 04:10:00 PM,056XX N KENMORE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,2022,020,48,77,11,,,2013,08/05/2017 03:50:08 PM,,,
